musee,museeLabel,lat,long,lat_long
http://www.wikidata.org/entity/Q56303934,Association Azzedine Alaïa,48.857507,2.354742,"48.857507, 2.354742"
http://www.wikidata.org/entity/Q112224724,Ateliers-musée Chana Orloff,,,
http://www.wikidata.org/entity/Q46625757,Bibliothèque-musée de la Comédie-Française,,,
http://www.wikidata.org/entity/Q111209139,Galerie Mathgoth,,,
http://www.wikidata.org/entity/Q55612907,Grand Musée du Parfum,48.8714,2.3147,"48.8714, 2.3147"
http://www.wikidata.org/entity/Q13651333,Musée d'Art Juif,48.89027778,2.34055556,"48.89027778, 2.34055556"
http://www.wikidata.org/entity/Q3364646,Parc océanique Cousteau,48.8629,2.34343,"48.8629, 2.34343"
http://www.wikidata.org/entity/Q12505361,Petit Musée de l'Argenterie,48.845,2.38055556,"48.845, 2.38055556"
http://www.wikidata.org/entity/Q3058119,espace Claude-Berri,48.86063,2.35615,"48.86063, 2.35615"
http://www.wikidata.org/entity/Q1435661,fondation Le Corbusier,48.851911,2.265248,"48.851911, 2.265248"
http://www.wikidata.org/entity/Q2655828,maison de l'Histoire de France,48.85964,2.359593,"48.85964, 2.359593"
http://www.wikidata.org/entity/Q3329038,musée Adzak,48.83027778,2.31416667,"48.83027778, 2.31416667"
http://www.wikidata.org/entity/Q2992085,musée Baccarat,48.867777777778,2.2936111111111,"48.867777777778, 2.2936111111111"
http://www.wikidata.org/entity/Q2383302,musée Boleslas Biegas,48.8512,2.35565,"48.8512, 2.35565"
http://www.wikidata.org/entity/Q3329101,musée Bouilhet-Christofle,48.86777778,2.3225,"48.86777778, 2.3225"
http://www.wikidata.org/entity/Q3329230,musée Kwok On,48.8485,2.28939,"48.8485, 2.28939"
http://www.wikidata.org/entity/Q3329289,musée Moissan,48.84361111,2.33638889,"48.84361111, 2.33638889"
http://www.wikidata.org/entity/Q2255375,musée Pasteur,48.84028,2.31139,"48.84028, 2.31139"
http://www.wikidata.org/entity/Q3329318,musée Pierre-Fauchard,48.86855556,2.27888889,"48.86855556, 2.27888889"
http://www.wikidata.org/entity/Q3329319,musée Pierre-Marly,48.86777778,2.32611111,"48.86777778, 2.32611111"
http://www.wikidata.org/entity/Q21076028,musée Spitzner,,,
http://www.wikidata.org/entity/Q12130529,musée Symon-Petlioura,,,
http://www.wikidata.org/entity/Q3329379,musée Valentin-Haüy,48.84777778,2.31416667,"48.84777778, 2.31416667"
http://www.wikidata.org/entity/Q2023744,musée d'Histoire contemporaine,48.901720938889,2.2112768611111,"48.901720938889, 2.2112768611111"
http://www.wikidata.org/entity/Q742488,musée de Notre Dame de Paris,48.85333333,2.35013889,"48.85333333, 2.35013889"
http://www.wikidata.org/entity/Q3329749,musée de Radio France,48.8525,2.27833333,"48.8525, 2.27833333"
http://www.wikidata.org/entity/Q88640485,musée de l'Ecole nationale supérieure des beaux-arts,48.845748,2.33167,"48.845748, 2.33167"
http://www.wikidata.org/entity/Q3329795,musée de l'Holographie,48.8619444,2.3469444,"48.8619444, 2.3469444"
http://www.wikidata.org/entity/Q670268,musée de l'Homme,48.86218,2.28741,"48.86218, 2.28741"
http://www.wikidata.org/entity/Q28819543,musée de la Marine du Louvre,,,
http://www.wikidata.org/entity/Q642825,musée de la Préfecture de Police,48.8495,2.3482,"48.8495, 2.3482"
http://www.wikidata.org/entity/Q3329972,musée de la Serrure,48.8591,2.3619,"48.8591, 2.3619"
http://www.wikidata.org/entity/Q3330138,musée des Matériaux du Centre de Recherche sur les Monuments Historiques,48.8625,2.2875,"48.8625, 2.2875"
http://www.wikidata.org/entity/Q3330260,musée des Monuments français,48.8576,2.3345,"48.8576, 2.3345"
http://www.wikidata.org/entity/Q6943609,musée du Cinéma Henri Langlois,48.863055555556,2.2894444444444,"48.863055555556, 2.2894444444444"
http://www.wikidata.org/entity/Q3330353,musée du Fumeur,48.85861111,2.38222222,"48.85861111, 2.38222222"
http://www.wikidata.org/entity/Q3330804,musée social,48.858068,2.321866,"48.858068, 2.321866"
http://www.wikidata.org/entity/Q3329018,musée-galerie de la Seita,48.86138889,2.30916667,"48.86138889, 2.30916667"
http://www.wikidata.org/entity/Q3527406,théâtre-musée des Capucines,48.8699,2.32917,"48.8699, 2.32917"
